寄楊五桂州譚因州參軍段之子之任 // 2076,2.675,PDF
逢唐興劉主簿弟 // 2395,2.677,PDF
和裴迪登新津寺寄王侍郎王時牧蜀 // 2027,2.678,PDF
暮登四安寺鐘樓寄裴十迪 // 2110,2.679,PDF
敬簡王明府 // 2398,2.680,PDF
重簡王明府 // 2402,2.680,PDF
寄賀蘭銛 // 3333,2.681,PDF
建都十二韻 // 2061,2.682,PDF
徐九少尹見過 // 2429,2.684,PDF
投簡成華兩縣諸子 // 0262,2.685,PDF
徐卿二子歌 // 2326,2.687,PDF
歲暮 // 3016,2.688,PDF
和裴迪登蜀州東亭送客逢早梅相憶見寄 // 2080,2.689,PDF
寄贈王將軍承俊 // 3386,2.689,PDF
少年行 // 2537,2.690,PDF
蕭八明府實處覓桃栽 // 1915,2.690,PDF
憑何十一少府邕覓榿木栽 // 1919,2.691,PDF
憑韋少府班覓松樹子栽 // 1921,2.691,PDF
又於韋處乞大邑瓷盌 // 1923,2.692,PDF
詣徐卿覓果栽 // 1924,2.692,PDF
從人覓小胡孫許寄 // 1607,2.692,PDF
百憂集行 // 2353,2.693,PDF
題新津北橋樓 // 2106,2.694,PDF
奉酬李都督表丈早春作 // 2100,2.694,PDF
遊修覺寺 // 2115,2.695,PDF
後遊 // 2119,2.695,PDF
遣意二首 // 2139,2.696,PDF
漫成二首 // 2148,2.697,PDF
早起 // 2193,2.697,PDF
三絶句 // 3466,2.698,PDF
客至 // 2131,2.699,PDF
春水 // 2183,2.699,PDF
江亭 // 2186,2.700,PDF
村夜 // 2073,2.700,PDF
可惜 // 2207,2.701,PDF
野人送朱櫻 // 2576,2.701,PDF
落日 // 2198,2.702,PDF
獨酌 // 2202,2.702,PDF
徐步 // 2211,2.703,PDF
即事 // 2541,2.703,PDF
贈花卿 // 2335,2.704,PDF
寒食 // 2215,2.704,PDF
别唐十五誡因寄禮部賈侍郎 // 3304,2.705,PDF
高柟 // 2286,2.708,PDF
惡樹 // 2289,2.708,PDF
石鏡 // 2266,2.709,PDF
琴臺 // 2270,2.709,PDF
聞斛斯六官未歸 // 2311,2.711,PDF
絶句漫興九首 // 2232,2.711,PDF
戲爲六絶 // 2501,2.714,PDF
朝雨 // 2277,2.716,PDF
晚晴 // 2281,2.717,PDF
江上値水如海勢聊短述 // 2165,2.717,PDF
大雨 // 2594,2.718,PDF
溪漲 // 2598,2.719,PDF
泛溪 // 2031,2.720,PDF
柟樹爲風雨所拔歎 // 2339,2.721,PDF
茅屋爲秋風所破歌 // 2345,2.722,PDF
赴青城縣出成都寄陶王二少尹 // 2383,2.727,PDF
因崔五侍御寄高彭州一絶 // 2023,2.727,PDF
野望因過常少仙 // 2389,2.728,PDF
丈人山 // 2393,2.729,PDF
寄杜位 // 2405,2.729,PDF
出郭 // 2036,2.730,PDF
戲作花卿歌 // 2329,2.731,PDF
少年行二首 // 2256,2.732,PDF
送裴五赴東川 // 2318,2.733,PDF
奉簡高三十五使君 // 2025,2.733,PDF
贈蜀僧閭丘師兄 // 2052,2.734,PDF
送韓十四江東省覲 // 2410,2.737,PDF
酬高使君相贈 // 1903,2.738,PDF
草堂即事 // 2424,2.739,PDF
得廣州張判官叔卿書使還以詩代意 // 2476,2.740,PDF
魏十四侍御就敝廬相别 // 2484,2.741,PDF
范二員外邈吴十侍御郁特枉駕闕展待聊寄此作 // 2432,2.742,PDF
王十七侍御掄許攜酒至草堂奉寄此詩便請邀高三十五使君同到 // 2435,2.743,PDF
王竟攜酒高亦同過用寒字 // 2442,2.744,PDF
陪李七司馬皂江上觀造竹橋即日成往來之人免冬寒入水聊題短作簡李公 // 2445,2.744,PDF
觀作橋成月夜舟中有述還呈李司馬 // 2445,2.745,PDF
李司馬橋了承高使君自成都回 // 2453,2.746,PDF
入奏行 // 2460,2.746,PDF
贈别何邕 // 2487,2.750,PDF
贈别鄭鍊赴襄陽 // 2493,2.751,PDF
重贈鄭鍊 // 2497,2.751,PDF
懷舊 // 3310,2.752,PDF
所思 // 2306,2.752,PDF
不見 // 2417,2.753,PDF
廣州段功曹到得楊五長史書功曹却歸聊寄此詩 // 2472,3.755,PDF
送段功曹歸廣州 // 2480,3.756,PDF
畏人 // 2527,3.757,PDF
遭田父泥飲美嚴中丞 // 2552,3.758,PDF
嚴中丞枉駕見過 // 2548,3.759,PDF
野望 // 2454,3.761,PDF
舟前小鵝兒 // 2837,3.762,PDF
官池春雁二首 // 2840,3.763,PDF
水檻遣興二首 // 2177,3.764,PDF
屛跡三首 // 2530,3.765,PDF
遠遊 // 2753,3.766,PDF
奉和嚴中丞西城晚眺十韻 // 2560,3.767,PDF
奉酬嚴公寄題野亭之作 // 2542,3.770,PDF
中丞嚴公雨中垂寄見憶一絶奉答二絶 // 2565,3.771,PDF
